tag,count
1girl,7406707
solo,6178238
multiple_girls,1897435
1boy,1785779
2girls,1272033
male_focus,912181
multiple_boys,588002
solo_focus,439239
2boys,386191
3girls,299277
no_humans,189191
4girls,135106
animal,127527
6+girls,102224
1other,97373
3boys,92308
5girls,70761
4boys,40864
6+boys,38645
monster,38288
creature,26310
multiple_others,22619
5boys,19061
everyone,18059
2others,11614
3others,3617
6+others,3371
4others,1562
5others,845
too_many_cats,792
multiple_dogs,305
