tag,count
blush,3616999
smile,3589789
open_mouth,2972437
closed_mouth,1542080
closed_eyes,894931
:d,685942
parted_lips,627134
one_eye_closed,538024
tongue_out,352641
grin,296210
sweatdrop,285365
tears,283990
:o,231341
v-shaped_eyebrows,224810
upper_teeth_only,199850
v,192995
expressionless,153187
:3,149169
^_^,137346
frown,134045
nose_blush,130903
blush_stickers,129147
embarrassed,120955
happy,118895
flying_sweatdrops,110005
wavy_mouth,95397
light_smile,93177
light_blush,92978
?,87970
clenched_teeth,86954
;d,84650
>_<,82393
anger_vein,66786
...,66261
surprised,65749
^^^,63705
spoken_heart,59955
breath,59017
angry,54307
one_eye_covered,52644
furrowed_brow,51308
:<,49259
:p,48487
!,48170
spoken_ellipsis,45577
@_@,44818
wide-eyed,41805
raised_eyebrows,41344
:q,39049
+_+,35360
serious,34827
double_v,34762
naughty_face,34489
smirk,32558
:t,32551
!?,32385
=_=,32330
pout,32172
;),30499
full-face_blush,28840
o_o,28339
smug,28035
split_mouth,27425
covered_mouth,26654
spoken_question_mark,25840
|_|,25479
ahegao,24401
w,23802
covered_eyes,22892
triangle_mouth,20592
light_frown,19431
evil_smile,19377
chestnut_mouth,18802
scared,18396
:>,18189
drunk,18128
nervous_sweating,18052
wince,17661
spoken_exclamation_mark,17225
rolling_eyes,16845
>:),16704
annoyed,16448
fang_out,16432
puff_of_air,15657
ear_blush,15227
sad,15157
nervous,14912
lower_teeth_only,14663
!!,14320
zzz,13351
seductive_smile,13093
;o,12216
:|,11981
squeans,11940
shy,11849
sleepy,11693
torogao,10978
d:,10924
xd,10057
3:,9657
teardrop,9436
nervous_smile,9215
hot,8931
evil_grin,8173
??,7000
penis_awe,6621
gloom_(expression),6473
u_u,5969
puckered_lips,5830
scowl,5640
>_o,5063
:i,4996
flustered,4970
jealous,4863
worried,4758
confused,4626
aroused,4589
what,4578
grimace,4299
false_smile,4283
crazy_smile,4101
o3o,4100
nose_bubble,3982
smiley_face,3883
teasing,3705
happy_tears,3687
disgust,3194
pain,3145
unconscious,3024
failure,2986
doyagao,2980
excited,2942
._.,2930
c:,2758
unamused,2689
exhausted,2677
double_w,2539
yes,2509
determined,2304
blank_stare,2145
puffy_cheeks,2094
sick,2046
\o/,2013
bored,1930
<|>_<|>,1878
crazy,1805
\n/,1766
pursed_lips,1743
panicking,1734
affectionate,1709
<o>_<o>,1619
...?,1497
hungry,1359
clueless,1321
x3,1233
troll_face,1185
emoticon,1169
in_heat,1160
gao,1155
head_steam,1148
nyan,1145
forced_smile,1127
sad_smile,1106
depressed,1053
gesugao,1040
:c,989
paizuri_invitation,962
;(,915
curious,884
unhappy,835
yandere_trance,807
rape_face,779
pleading_face_emoji,740
despair,738
furious,737
lonely,726
:s,726
horrified,703
;<,693
lovestruck,684
kupaa,660
comedic_sweatdrop,659
breast_awe,655
...!,641
frustrated,640
is_that_so,625
d;,619
uu~,615
yaranaika,589
spoken_flying_sweatdrops,550
no,542
ayaya~,539
listen!!,533
disappointed,511
foodgasm,477
traumatized,453
awkward,446
blush_visible_through_hair,436
jaw_drop,429
yurie_mouth,416
crazy_grin,411
dizzy,406
eargasm,401
idea,394
height_conscious,390
distress,389
go_back!,386
unyu,382
uwu,382
t_t,376
tehepero,373
disdain,371
dazed,369
ara_ara,364
sulking,358
sneer,346
awestruck,324
mood_(umamusume),314
cocked_eyebrow,312
tears_from_one_eye,309
flinch,304
black_tears,299
ears_back,296
heart-shaped_mouth,291
gasp,289
grumpy,288
victory,287
mg_mg,284
3;,278
creepy_eyes,276
;|,275
lowered_eyelids,271
^q^,269
horosho,262
confident,240
envy,228
mutsuki_face_(azur_lane),217
mourning,210
ptsd,207
;/,202
pensive,201
puckered_face,200
>3<,195
ecstasy,180
headache,179
bad_face,168
seeing_stars,168
stomach_ache,163
full-body_blush,163
downcast_eyes,160
uncomfortable,158
paru_paru,154
ragequit,151
ass_blush,149
denial,149
possessive,148
muscle_envy,148
yakimochi,147
deadpan,147
pov_adoring,145
okawaii_koto,144
stoned,140
kuudere,138
burning_love_(phrase),138
tsuki_ga_kirei_desu_ne_(phrase),136
mutsuki_face_(blue_archive),135
hangover,134
good_morning,133
wide_mouth,129
nausea,128
tasukete_eirin,122
desperation,121
relief,121
kubrick_stare,115
expression_35,114
sheeeh!,114
impressed,113
distracted,112
tipsy,111
sly,108
i'm_such_a_fool,106
^3^,104
awesome_face,103
paku_paku_desuwa,103
(^o^)/,
