tag,count
long_hair,5419581
breasts,4276444
looking_at_viewer,4163487
short_hair,2789599
blue_eyes,2177246
large_breasts,1956348
blonde_hair,1921515
black_hair,1883654
brown_hair,1864828
holding,1786824
red_eyes,1563634
hair_between_eyes,1471550
animal_ears,1459937
navel,1415625
cleavage,1230064
very_long_hair,1209850
bare_shoulders,1196416
twintails,1106089
medium_breasts,1084249
blue_hair,1064864
green_eyes,1050644
nipples,1018125
brown_eyes,1015874
purple_eyes,1013862
tail,985277
multicolored_hair,901837
white_hair,885760
pink_hair,881842
yellow_eyes,874706
grey_hair,868767
ponytail,858996
ahoge,814318
purple_hair,807085
braid,787565
sidelocks,777019
ass,721523
thighs,696349
sweat,654261
red_hair,651284
teeth,630460
small_breasts,614448
horns,578247
wings,541583
green_hair,519338
penis,509332
pointy_ears,493154
medium_hair,488468
tongue,474181
barefoot,455595
pussy,449984
fang,398937
blunt_bangs,367327
midriff,363303
halo,356624
cat_ears,355287
pink_eyes,354908
dark_skin,352741
looking_at_another,349713
stomach,340748
looking_back,337923
mole,322224
streaked_hair,318523
two-tone_hair,313774
hair_bun,312171
hair_over_one_eye,308684
orange_hair,299304
armpits,295514
off_shoulder,293075
black_eyes,289367
rabbit_ears,280836
huge_breasts,275405
parted_bangs,254296
animal_ear_fluff,252994
feet,244062
grey_eyes,233761
looking_to_the_side,229871
aqua_eyes,221123
eyelashes,220702
twin_braids,220491
dark-skinned_female,219930
flat_chest,218474
two_side_up,218229
side_ponytail,215728
orange_eyes,215445
symbol-shaped_pupils,204510
mole_under_eye,201229
upper_teeth_only,199850
cat_tail,194385
hand_on_own_hip,194316
strapless,193873
covered_nipples,193557
toes,190560
pokemon_(creature),186120
loli,185811
fox_ears,184102
wet,179196
gradient_hair,176668
tattoo,175245
groin,174467
legs,173537
colored_skin,172900
bare_arms,171711
hair_intakes,170173
pubic_hair,167151
muscular,167095
covered_navel,166657
lips,165943
bare_legs,164774
floating_hair,163927
single_braid,160803
double_bun,155796
horse_ears,154581
aqua_hair,151921
shiny_skin,151442
horse_girl,150621
facial_hair,146699
swept_bangs,145066
heterochromia,144024
anus,143787
sideboob,143605
skindentation,142664
low_twintails,142607
scar,138425
alternate_hairstyle,132441
one_side_up,131335
fangs,131106
wavy_hair,131091
bird,131014
fox_tail,129663
soles,129150
holding_hands,127381
thick_thighs,126668
facial_mark,124524
cat_girl,121707
erection,121080
underboob,120293
thick_eyebrows,119821
bob_cut,118947
half-closed_eyes,118710
looking_down,118549
cameltoe,117645
groping,117086
muscular_male,115407
abs,114229
testicles,114126
no_shoes,113411
dark-skinned_male,112390
drill_hair,112346
bright_pupils,111601
colored_inner_hair,110664
back,110571
ass_visible_through_thighs,110482
pectorals,109526
demon_horns,108737
female_pubic_hair,108318
heart-shaped_pupils,105768
demon_girl,105188
cleavage_cutout,104662
furry,104645
fox_girl,102911
high_ponytail,102899
sharp_teeth,101989
antenna_hair,101528
cat,101187
wolf_ears,99723
scrunchie,96968
black_nails,95741
eyepatch,94441
feathers,92734
thigh_gap,92407
eyes_visible_through_hair,91180
white_pupils,88461
spiked_hair,88130
horse_tail,87962
looking_up,87296
elf,86958
bug,86396
single_hair_bun,86381
scar_on_face,84328
grabbing_another's_breast,84141
feathered_wings,83837
straight_hair,83619
slit_pupils,82304
robot,80397
head_wings,79837
crossed_bangs,78121
breasts_out,77976
skin_fang,77972
hand_on_own_chest,77898
messy_hair,77442
rabbit_tail,76051
short_twintails,75750
extra_ears,75679
clenched_hand,75066
dog_ears,74802
monster_girl,73406
demon_tail,73284
tan,72119
red_nails,72118
bat_wings,71164
side_braid,68440
dot_nose,68061
hair_over_shoulder,67750
claws,67667
butterfly,67430
low_ponytail,66351
pale_skin,66104
areola_slip,65300
mole_under_mouth,64826
anal,64312
toenails,63530
official_alternate_hairstyle,63065
multiple_tails,62417
eyeshadow,61870
breast_press,61838
blue_nails,60808
curvy,60784
twin_drills,60643
hand_on_own_face,60451
pink_nails,60296
beard,59294
between_breasts,59245
colored_sclera,59088
black_wings,58118
eye_contact,57823
short_hair_with_long_locks,57650
male_pubic_hair,57539
faceless,56720
tsurime,56624
breasts_apart,56393
androgynous,56384
single_earring,55890
dragon_horns,55709
alternate_breast_size_(larger),55589
glowing_eyes,55364
forehead,55070
third_eye,55007
demon_wings,54914
hair_rings,54020
white_skin,54015
wolf_tail,53265
tareme,53243
low-tied_long_hair,53004
one_eye_covered,52644
large_pectorals,52181
clenched_hands,52048
freckles,51915
hair_flaps,51799
tentacles,51637
veins,51342
paizuri,51311
multicolored_eyes,51248
half_updo,50785
cum_on_breasts,49635
dragon_girl,49536
toned,49383
furry_female,49025
double-parted_bangs,48862
wide_hips,48805
angel_wings,48017
single_horn,47884
furry_male,47801
white_wings,47705
blood_on_face,47652
strap_slip,47462
eyebrows,46981
mole_on_breast,45673
kemonomimi_mode,45625
fish,45424
pauldrons,45086
puffy_nipples,44586
long_fingernails,43910
oni,43907
hand_on_another's_head,43879
short_ponytail,43826
colored_eyelashes,43417
hand_in_pocket,43220
jitome,42945
mature_female,42592
curly_hair,42435
futanari,42202
empty_eyes,42197
blue_halo,42128
hand_in_own_hair,42054
black_horns,41853
faceless_male,41801
rabbit_girl,41371
dog_tail,41320
animal_hands,41210
cleft_of_venus,40844
bulge,40631
fins,40598
wolf_girl,40452
mature_male,40037
plump,39607
asymmetrical_bangs,39274
braided_ponytail,39109
pink_lips,39104
head_rest,38947
tanlines,38747
bandaged_arm,38435
hands_on_own_hips,38359
long_bangs,38312
dog,38089
dog_girl,37764
tentacle_hair,37640
hair_down,37107
dragon_tail,36717
pink_halo,36664
hair_spread_out,36651
blunt_ends,36339
stubble,36173
ass_focus,36061
large_penis,36012
sideways_glance,35802
mustache,35699
eyeliner,35264
asymmetrical_hair,34964
