tag,count
highres,6670730
commentary_request,4953525
absurdres,2318129
commentary,1933479
bad_id,1423741
bad_pixiv_id,1114510
photoshop_(medium),808267
english_commentary,708410
translation_request,688403
translated,658305
official_art,423786
commission,243762
bad_twitter_id,240967
chinese_commentary,228490
symbol-only_commentary,168214
artist_request,139975
non-web_source,138791
copyright_request,132763
variant_set,128495
korean_commentary,127872
lowres,117000
md5_mismatch,114540
traditional_media,106603
animated,104962
game_cg,104308
scan,101864
paid_reward_available,92485
partial_commentary,89701
skeb_commission,85429
hashtag-only_commentary,77214
revision,72356
second-party_source,66435
character_request,64140
bad_link,63003
mixed-language_commentary,59451
third-party_source,59343
video,57695
large_variant_set,57068
spoilers,43708
check_translation,42788
duplicate,41921
source_request,35028
protected_link,32806
pixiv_commission,32715
resolution_mismatch,32443
jpeg_artifacts,30271
third-party_edit,29980
pixel-perfect_duplicate,26174
animated_gif,25913
painting_(medium),25591
inactive_account,25381
self-upload,24751
sound,23962
partially_translated,23518
derivative_work,21432
photo_(medium),20609
ugoira,20342
textless_version,18834
watercolor_(medium),18668
check_commentary,18517
paid_reward,18510
imageboard_desourced,18364
tall_image,17770
anime_screenshot,17353
unfinished,17330
bad_tumblr_id,16944
source_smaller,16753
looping_animation,16186
painttool_sai_(medium),15642
bad_source,15503
dated_commentary,15475
marker_(medium),15107
source_larger,14189
graphite_(medium),12930
ai-generated,11623
promotional_art,11360
cropped,11216
image_sample,11051
doujinshi,10632
colorized,10354
clip_studio_paint_(medium),10152
commissioner_upload,10088
making-of_available,9969
patreon_reward,9688
artist_collaboration,9219
photo-referenced,9216
audible_music,9061
novel_illustration,8685
audible_speech,8429
official_wallpaper,8300
off-topic,8228
bad_deviantart_id,8181
hard-translated,8177
has_bad_revision,7618
corrupted_twitter_file,7343
colored_pencil_(medium),7281
concept_art,7172
resized,6648
alt_text,6609
pen_(medium),6137
official_artist_extra,6113
magazine_scan,5868
procreate_(medium),5769
bad_nicoseiga_id,5578
adversarial_noise,5245
incredibly_absurdres,5018
clothing_request,4877
artbook,4843
pixiv_sample,4832
ai-assisted,4774
screenshot,4671
screenshot_redraw,4317
archived_source,4227
scan_artifacts,4219
paint.net_(medium),3863
fanbox_reward,3798
check_copyright,3745
mixed_media,3696
spanish_commentary,3631
stitched,3622
flower_request,3602
annotated,3487
blender_(medium),3386
has_censored_revision,3250
making-of,3062
upscaled,2914
downscaled,2869
bad_bcy_id,2864
key_visual,2859
millipen_(medium),2848
gender_request,2815
tagme,2783
check_artist,2772
nude_filter,2726
english_audio,2718
live2d,2673
bilingual_commentary,2638
japanese_audio,2630
redrawn,2598
check_character,2593
wide_image,2572
alternate_language,2493
romaji_commentary,2487
production_art,2427
vector_trace,2409
gimp_(medium),2362
acrylic_paint_(medium),2337
cosplay_photo,2307
bad_drawr_id,2191
crease,2067
has_downscaled_revision,2011
alpha_transparency,1981
figure_(medium),1973
unconventional_media,1926
gift_art,1913
russian_commentary,1865
food_request,1829
lossy-lossless,1824
guest_art,1820
nib_pen_(medium),1637
weapon_request,1628
merchandise_available,1594
decensored,1593
third-party_watermark,1569
bad_nijie_id,1498
thai_commentary,1489
ibispaint_(medium),1419
flash,1411
engrish_commentary,1387
detexted,1374
oil_painting_(medium),1374
enty_reward,1346
commentary_typo,1299
end_card,1245
album_cover_redraw,1185
ink_(medium),1176
fantia_reward,1154
game_screenshot,1124
headwear_request,1082
ballpoint_pen_(medium),1054
annotation_request,1051
aliasing,1009
koikatsu_(medium),991
self-portrait,986
microsoft_paint_(medium),971
vgen_commission,951
calligraphy_brush_(medium),944
ruffle_compatible,922
comic_panel_redraw,909
twitter_sample,896
bad_lofter_id,895
60+fps,895
watercolor_pencil_(medium),880
mikumikudance_(medium),873
art_study,871
source_mismatch,861
tumblr_sample,804
waifu2x,801
hard-translated_(non-english),800
e-hentai_sample,757
music_video,748
pdf_available,738
eyecatch,728
