tag,count
heart,737807
weapon,729764
food,545894
speech_bubble,369507
sword,337426
cum,305098
star_(symbol),303345
bag,277287
water,266865
cup,225921
pillow,178203
gun,174941
book,170600
blood,161340
petals,156109
saliva,138655
pussy_juice,135447
fruit,134086
rose,129548
bed,128895
chain,127947
leaf,126463
chair,125121
phone,124885
white_flower,119215
cellphone,116248
bed_sheet,114826
stuffed_toy,106342
table,104300
smartphone,101511
red_flower,93660
fire,92451
cross,91076
plant,89841
bottle,88167
stuffed_animal,86402
curtains,82152
knife,79706
katana,77574
pink_flower,76809
staff,73480
instrument,71073
polearm,68474
box,67533
musical_note,65969
couch,65256
candy,64795
sex_toy,64593
microphone,63626
rope,62733
sheath,62546
plate,56305
blue_flower,55964
motor_vehicle,55545
smoke,51125
rifle,50143
drinking_glass,50126
desk,50033
ball,49929
doll,49682
cake,47857
gift,47618
handgun,46926
tray,45500
swim_ring,45048
thought_bubble,44604
alcohol,44453
yellow_flower,42790
purple_flower,42199
cigarette,42003
bubble,41252
condom,40890
teacup,39640
bowl,39638
broom,38668
red_rose,38191
drinking_straw,37825
paper,37676
innertube,37286
bouquet,35735
shield,34879
mug,34818
mirror,34687
machinery,34487
open_book,34427
lollipop,34366
teddy_bear,33977
lantern,33942
popsicle,33684
poke_ball,33617
card,33111
can,32944
skull,32923
arrow_(symbol),32145
water_drop,31891
sign,31705
spoon,31123
ice_cream,31079
crystal,30933
strawberry,30709
drink,30617
chopsticks,30544
character_doll,30193
fork,30040
railing,30013
chocolate,29488
bow_(weapon),29243
spear,29197
ofuda,29086
fence,28860
branch,28812
vibrator,28251
camera,28006
door,27615
dildo,27481
apple,27318
dakimakura_(medium),27157
potted_plant,26943
sunflower,26635
card_(medium),26368
eighth_note,26350
wand,25715
pen,25338
blanket,25330
guitar,25214
car,25186
confetti,25066
gift_box,24990
saliva_trail,24662
clock,24618
aircraft,24526
ship_turret,24376
cable,24305
bookshelf,24245
poke_ball_(basic),24083
basket,23740
arrow_(projectile),23514
balloon,22940
candle,22832
glass,22623
military_vehicle,22151
pom_pom_(cheerleading),21853
school_desk,21576
controller,21520
flag,20937
assault_rifle,20859
jack-o'-lantern,20780
blue_rose,20695
lamp,20576
disposable_cup,20196
cannon,20108
beachball,20077
bench,19763
precum,19478
stuffed_rabbit,19463
gohei,19376
scythe,19369
bucket,19287
key,19272
pocky,19266
wine_glass,19044
dagger,18547
bread,18365
axe,18200
white_rose,18080
blue_gemstone,18012
computer,17874
air_bubble,17870
teapot,17826
airplane,17564
oil-paper_umbrella,17278
used_condom,17131
watercraft,17004
heart_of_string,16953
carrot,16859
string,16831
photo_(object),16733
scabbard,16663
rigging,16512
paintbrush,16470
snowflakes,16458
condom_wrapper,16421
anchor,16313
pink_rose,16273
light,15883
fireworks,15767
wagashi,15662
hibiscus,15656
vines,15606
sack,15597
pumpkin,15281
handcuffs,15234
monitor,15168
drink_can,15055
coin,14975
tea,14958
picture_frame,14755
donut,14672
pencil,14233
shell,14134
playing_card,14079
electric_guitar,14050
peach,13971
mushroom,13955
television,13899
shackles,13809
sliding_doors,13736
game_controller,13680
water_bottle,13632
handheld_game_console,13620
cookie,13375
stool,13339
arm_cannon,13285
maple_leaf,13076
burger,13065
christmas_tree,13054
pee,12967
bamboo,12940
magic_circle,12793
hammer,12667
huge_weapon,12647
syringe,12615
cherry,12505
red_gemstone,12439
orange_flower,12329
watermelon,12207
scissors,12168
submachine_gun,12023
saucer,11852
baseball_bat,11766
coffee,11717
rice,11626
motorcycle,11452
whistle,11432
egg,11429
scroll,11327
black_bag,11322
beer,11240
clipboard,11217
tape,11147
futon,11068
book_stack,11060
sniper_rifle,11018
sakazuki,10984
tank,10964
black_flower,10866
cushion,10817
beach_umbrella,10770
torpedo,10754
wine,10744
cardboard_box,10706
american_flag,10584
cake_slice,10565
lily_(flower),10493
swivel_chair,10336
paper_lantern,10098
laptop,10058
vase,9996
brown_bag,9996
meat,9985
orb,9910
ice_cream_cone,9819
noodles,9587
shopping_bag,9441
explosive,9382
dango,9377
school_chair,9375
water_gun,9308
radio_antenna,9248
notebook,9192
green_gemstone,9132
heart-shaped_food,9102
poster_(object),9028
coffee_mug,9022
sake,8964
trading_card,8897
beer_mug,8847
onigiri,8832
microphone_stand,8814
orange_(fruit),8765
heart-shaped_box,8754
chess_piece,8701
bone,8700
whip,8689
flip_phone,8684
anal_beads,8652
grapes,8624
kotatsu,8522
paper_fan,8501
rose_petals,8417
revolver,8406
money,8361
pole,8310
bicycle,8247
machine_gun,8209
white_feathers,8092
wine_bottle,8092
statue,8088
painting_(object),8083
nintendo_switch,8007
ladle,7988
spring_onion,7944
heart-shaped_chocolate,7898
road_sign,7890
energy_sword,7837
computer_keyboard,7827
purple_rose,7782
armchair,7745
stick,7729
throne,7722
thorns,7718
gears,7696
spider_lily,7658
tablet_pc,7646
hydrangea,7633
closed_umbrella,7562
jar,7485
lock,7473
letter,7462
office_chair,7439
snowman,7428
macaron,7210
drawing_(object),7175
hose,7133
gourd,7103
trident,6974
lemon,6969
clover,6964
tomato,6919
egg_vibrator,6907
test_tube,6889
bullet,6875
envelope,6837
mandarin_orange,6723
shotgun,6672
yellow_rose,6652
pizza,6621
milk,6620
violin,6589
tissue_box,6559
plectrum,6558
fishing_rod,6477
folded_fan,6451
rubber_duck,6442
drum,6437
scope,6375
parfait,6317
rapier,6304
cage,6297
beer_can,6282
spacecraft,6240
sandwich,6238
paper_bag,6218
shide,6182
vegetable,6166
soul_gem,6153
candy_apple,6140
glowstick,6127
christmas_ornaments,6124
kunai,6109
frilled_pillow,6104
energy_gun,6054
lance,5995
remote_control,5992
wrench,5977
latin_cross,5970
pancake,5956
banana,5921
sushi,5883
cupcake,5875
map,5868
banner,5849
calligraphy_brush,5845
purple_gemstone,5813
cheese,5812
magazine_(weapon),5798
flute,5787
steamed_bun,5787
stylus,5737
bass_guitar,5731
chicken,5701
megaphone,5679
cream,5670
soda_can,5668
train,5662
game_console,5662
kiseru,5661
mochi,5656
flower_pot,5614
frying_pan,5596
trash_can,5588
chips_(food),5535
toy,5513
digital_media_player,5482
needle,5427
piano,5422
stuffed_cat,5388
shikishi,5375
lifebuoy,5362
electric_fan,5360
french_fries,5337
uchiwa,5324
cosmetics,5295
ceiling_light,5293
basketball_(object),5259
newspaper,5244
puppet,5238
birthday_cake,5238
remote_control_vibrator,5232
lotus,5227
broken_glass,5215
figure,5201
red_umbrella,5196
shovel,5176
pill,5161
plastic_bag,5146
ramen,5120
owl,5108
