tag,count
rating:sensitive,5064328
rating:general,3333161
rating:questionable,1174681
full_body,1063161
rating:explicit,1049595
upper_body,976086
monochrome,777860
cowboy_shot,713299
hetero,681060
comic,667280
greyscale,621275
nude,608522
censored,567655
virtual_youtuber,504763
artist_name,496545
signature,373841
twitter_username,350240
english_text,314574
chibi,310232
from_behind,288756
from_side,278780
yuri,278626
blurry,273739
character_name,258063
mosaic_censoring,251735
dated,235482
completely_nude,233150
multiple_views,213978
sparkle,191890
bar_censor,191131
feet_out_of_frame,190159
border,184832
sketch,181691
watermark,178078
uncensored,168969
profile,160627
pov,159539
copyright_name,156298
dutch_angle,148271
siblings,137333
glowing,124384
from_above,123714
depth_of_field,120342
white_border,117038
4koma,115966
portrait,106458
parody,106282
from_below,102178
motion_lines,99020
yaoi,90148
couple,88069
cover,84964
bara,82644
bdsm,81939
sisters,80576
aged_down,79951
crossover,77881
outside_border,73818
shaded_face,72036
light_particles,70361
trap,69518
bondage,69323
child,68744
meme,68003
logo,66200
letterboxed,66143
outline,65714
foreshortening,63318
web_address,61482
cropped_legs,60364
cover_page,60276
genderswap,56959
cropped_torso,56769
close-up,56031
patreon_username,55231
happy_birthday,53045
christmas,52483
spot_color,51642
dual_persona,51492
mecha,50903
science_fiction,50747
reflection,49328
convenient_censoring,49183
clothed_female_nude_male,48062
tachi-e,47224
crossdressing,47173
lens_flare,46430
after_sex,45990
age_difference,44297
personification,43686
chibi_only,43623
genderswap_(mtf),43560
anime_coloring,42950
white_outline,40903
backlighting,40731
emphasis_lines,40723
out_of_frame,40684
straight-on,40162
twins,40138
one-hour_drawing_challenge,40042
chinese_text,39704
halloween,39557
notice_lines,39265
height_difference,38603
blue_theme,38056
2koma,38037
doujin_cover,38019
mini_person,37815
copyright_notice,36492
crossdressing_(mtf),35832
sound_effects,35665
brother_and_sister,34989
pov_hands,34590
aged_up,33956
animal_focus,33921
style_parody,33000
glint,32818
korean_text,32697
foot_out_of_frame,32023
music,31892
chromatic_aberration,31591
minigirl,30762
borrowed_character,30610
motion_blur,30535
oekaki,30445
new_year,30389
zoom_layer,30322
page_number,29466
contemporary,29170
interracial,29166
alternate_color,29107
artist_logo,28934
realistic,28479
size_difference,27045
head_out_of_frame,26513
shota,26226
valentine,25995
two-sided_fabric,25941
top-down_bottom-up,25364
pixel_art,25141
bishounen,24784
silent_comic,24660
sample_watermark,23904
duel_monster,23659
+++,23645
other_focus,23635
electricity,23348
weibo_watermark,22737
3d,22724
retro_artstyle,22522
chibi_inset,22510
limited_palette,22491
heart_censor,22221
company_name,21813
3koma,21605
magic,21516
silhouette,21425
after_vaginal,21193
black_border,21105
anchor_symbol,20631
text_focus,20560
animification,20545
patreon_logo,20493
invisible_chair,20195
film_grain,19845
chinese_zodiac,19815
pov_crotch,19703
squiggle,19702
happy_new_year,19601
fantasy,19531
wide_shot,19411
incest,19385
pokemon_focus,19327
hitodama,19242
reference_sheet,19146
hip_focus,18830
mother_and_daughter,18732
bad_anatomy,18724
disembodied_hand,18602
pink_theme,18422
interspecies,18085
partially_colored,18020
imminent_penetration,17726
halftone,17638
pointless_censoring,17479
anniversary,16929
diamond_(shape),16656
aura,16555
gameplay_mechanics,16377
sexually_suggestive,16300
brothers,16294
animalization,16237
bat_(animal),16058
frog,15920
afterimage,15133
cross-section,15056
:/,14908
