tag,count
simple_background,2334026
white_background,1926770
outdoors,677205
sky,546236
indoors,458239
day,421406
cloud,360318
grey_background,329796
water,266865
blue_sky,251656
tree,206777
gradient_background,169749
window,160998
blurry_background,158501
blue_background,156495
night,146203
shadow,144034
on_bed,141193
transparent_background,133379
bed,128895
ocean,127353
pink_background,123394
beach,116143
black_background,106996
sunlight,95451
grass,95318
cloudy_sky,94242
moon,94082
fire,92451
plant,89841
yellow_background,83113
curtains,82152
red_background,77600
building,74330
star_(sky),73896
night_sky,69721
scenery,67073
cherry_blossoms,66809
steam,65906
crescent,65129
wind,64910
nature,61329
two-tone_background,55805
green_background,55367
brown_background,54500
purple_background,54236
full_moon,49378
snow,49200
starry_sky,46770
forest,44658
rain,43042
orange_background,36790
sunset,36198
blurry_foreground,35908
wooden_floor,35400
rock,33566
ice,32887
on_floor,32878
falling_petals,32740
snowing,32397
stairs,32249
tiles,31592
sand,31313
city,31291
on_chair,31104
light_rays,31080
railing,30013
mountain,29528
fence,28860
palm_tree,28590
floral_background,27969
underwater,27738
door,27615
horizon,27156
sun,26553
on_couch,26398
bookshelf,24245
bush,23942
pool,22977
classroom,22824
onsen,22635
road,22054
school_desk,21576
cityscape,21257
tile_floor,20451
polka_dot_background,20368
space,20354
on_ground,20243
tatami,20062
shade,19058
under_covers,18750
architecture,18499
field,18378
dark,18193
bedroom,17853
autumn_leaves,17522
snowflakes,16458
light,15883
fireworks,15767
vines,15606
torii,15330
striped_background,15299
bath,14976
winter,14969
house,14966
aqua_background,14694
multicolored_background,14694
east_asian_architecture,14668
crescent_moon,14469
bathroom,14406
dark_background,13992
brick_wall,13928
sliding_doors,13736
ruins,13727
summer,13725
dappled_sunlight,13460
christmas_tree,13054
sunbeam,13000
bamboo,12940
power_lines,12800
mountainous_horizon,12774
checkered_floor,12518
lamppost,12400
chalkboard,12358
planet,12349
bridge,12201
rainbow,12110
bare_tree,11918
bathtub,11823
checkered_background,11477
flower_field,11349
shelf,11302
poolside,11255
photo_background,11167
pillar,11019
tile_wall,10795
on_grass,10663
utility_pole,10625
wall,10609
evening,10567
street,10406
chain-link_fence,10189
star_symbol_background,10134
river,9842
skyscraper,9839
grid_background,9839
train_interior,9626
castle,9530
waves,9273
landscape,8671
autumn,8567
lightning,8468
twilight,8438
kitchen,8330
gradient_sky,8321
ship,8099
boat,8084
locker,7999
school,7973
heart_background,7869
open_door,7805
stage,7740
orange_sky,7652
doorway,7586
tower,7473
abstract_background,7454
shop,7301
shooting_star,7297
spotlight,7285
shore,7248
halftone_background,7244
lake,7208
waterfall,7159
toilet,7131
puddle,7112
ceiling,7061
argyle_background,6734
fog,6733
spider_web,6654
library,6615
floor,6546
earth_(planet),6487
debris,6465
text_background,6378
grey_sky,6240
constellation,6179
reflective_water,6102
shouji,6092
rooftop,5880
shrine,5876
flight_deck,5874
bar_(place),5862
red_moon,5860
contrail,5801
sparkle_background,5703
lily_pad,5683
city_lights,5676
embers,5663
smokestack,5662
hallway,5509
stage_lights,5495
stained_glass,5292
dusk,5284
in_box,5256
path,5178
on_table,5075
hill,5007
purple_sky,4997
graffiti,4853
cumulonimbus_cloud,4832
locker_room,4805
arch,4802
car_interior,4785
in_tree,4750
pink_petals,4683
desert,4677
restaurant,4638
moss,4585
sunburst,4537
church,4506
sunrise,4490
bamboo_forest,4482
darkness,4464
moonlight,4427
cliff,4391
plum_blossoms,4337
reflective_floor,4272
town,4224
balcony,4117
red_sky,4108
counter,3959
cyberpunk,3870
alley,3814
tree_shade,3789
coral,3774
cafe,3720
cave,3698
under_table,3686
window_shadow,3589
morning,3529
overcast,3505
window_blinds,3503
rubble,3496
caustics,3491
spring_(season),3489
office,3481
pond,3435
festival,3403
plaid_background,3351
shower_(place),3351
skyline,3338
wooden_wall,3307
railroad_tracks,3293
